pt,en,es,de,it,ru,zh,fr,article,type
13,6,20,12,3,2,6,2,termodinamica,simple
6.5436791612609495,3.512910315125904,10.469356051583647,5.559846654402781,1.9838325068581684,1.0,3.0727569695286845,0.559846654402781,termodinamica,decaimento
1.7003926487209304,0.8111476895188432,2.11616162130305,1.3083057932479434,0.49981232862309266,0.10772547315010547,1.4731006438661536,0.7696784274974162,termodinamica,growth
6.753510934355584,3.512910315125904,10.679187824678282,5.769678427497416,1.9838325068581684,1.0,3.28258874262332,0.7696784274974162,termodinamica,parabola
8,6,8,23,63,16,21,1,mecanica_quantica,simple
3.6647625409500986,3.3759723971034834,4.1122165630439245,12.182132047885649,32.89334190403903,8.375972397103483,10.734678025791823,0.2799233272013905,mecanica_quantica,decaimento
0.9879389604004151,1.3126760900119148,0.7512009670904308,1.5215583928172258,4.108530458580941,1.8513034557624424,1.6505709129771047,0.3848392137487081,mecanica_quantica,growth
3.769678427497416,3.480888283650801,4.1122165630439245,12.182132047885649,32.89334190403903,8.4808882836508,10.83959391233914,0.3848392137487081,mecanica_quantica,parabola
22,38,36,5,3,1,2,2,leis_newton,simple
10.63680328141784,18.83510282244532,17.83510282244532,2.107725473150105,1.3641806307130573,0.10772547315010544,0.8351028224453219,0.6368032814178408,leis_newton,decaimento
2.2808646192467,3.087159737140623,2.9794342639905174,1.2154509463002108,1.3517111081843687,1.0,1.1481012204387238,1.203609887745645,leis_newton,growth
11.529077808267736,19.727377349295217,18.727377349295217,3.0,2.256455157562952,1.0,1.7273773492952165,1.5290778082677354,leis_newton,parabola
2,3,3,12,0,17,3,2,teoria_conjuntos,simple
0.5884491014943531,0.9732883152430613,0.9732883152430613,6.0,0.0,8.203609887745646,0.9732883152430613,0.5884491014943531,teoria_conjuntos,decaimento
0.8090011354691258,1.0889244626705163,1.0889244626705163,0.6463528389006329,0.0,1.3908815934685792,1.0889244626705163,0.8090011354691258,teoria_conjuntos,growth
0.9139170220164434,1.2987562357651514,1.2987562357651514,6.0,0.0,8.529077808267736,1.2987562357651514,0.9139170220164434,teoria_conjuntos,parabola
10,16,16,0,4,11,10,0,calculo_dif_int,simple
4.827834044032887,8.795499057749224,8.368671720606876,0.0,2.0,5.699449987847131,5.5971995167217425,0.0,calculo_dif_int,decaimento
1.2902428493443872,2.2898675065905727,1.426088494725116,0.0,0.21545094630021094,1.3620306303273657,2.0221997544471773,0.0,calculo_dif_int,growth
4.827834044032887,8.795499057749224,8.368671720606876,0.0,2.0,5.699449987847131,5.5971995167217425,0.0,calculo_dif_int,parabola
6,14,7,6,6,12,11,0,equacoes_maxwell,simple
3.1776728560760024,7.289889419119927,3.7273773492952165,2.9212176985130505,2.8671567520045964,6.224433126087849,5.3060569122617585,0.0,equacoes_maxwell,decaimento
1.368184757318836,2.119385724409267,0.47127763988904026,1.1241991222845726,1.1033943501357484,1.2869509878806507,1.6195733957861744,0.0,equacoes_maxwell,growth
3.28258874262332,7.394805305667244,3.7273773492952165,3.026133585060368,2.9720726385519143,6.224433126087849,5.410972798809076,0.0,equacoes_maxwell,parabola
32,56,28,36,36,24,24,14,teorema_pitagoras,simple
14.588848411827835,28.314371931175177,12.461680032333225,16.985447493882795,15.664387198196284,10.88109507244474,11.104964733423328,5.923735407420265,teorema_pitagoras,decaimento
5.711828840217207,6.354758302522838,5.766337147132165,5.816262451903575,6.140584178767911,4.635173384495478,5.915423648530278,5.625950763846096,teorema_pitagoras,growth
17.336336734323215,29.90330799595757,15.534636275350696,19.732935816378177,18.737343441213753,12.795499057749224,13.957368942466026,9.101607536985053,teorema_pitagoras,parabola
